r1_pop,0.0468215,-0.0439515,0.0230865,-0.548188,0.545419,-0.00174897,-0.0227499,-0.017152,0.0187324,-0.00478526,0.00395228,-2.18026,2.17946,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r1_dose1Type_Pfizer,-0.0439515,0.0741382,-0.0276185,0.503349,-0.531503,0.0384894,0.000678257,-0.077765,-1.80001e-05,-0.0038264,0.00292468,-2.38727,2.38835,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r1_isConvalesced_Yes,0.0230865,-0.0276185,2.30174,-0.726454,0.729557,-0.372907,0.0172021,0.0799221,-0.274993,0.00190181,0.0915953,-0.507933,-0.514957,0,0,0,0,0,0,0,0,0,0,0,0,0
r2_pop,-0.548188,0.503349,-0.726454,10.1209,-10.0549,0.0200002,0.264867,0.812585,-0.172814,0.134853,-0.110238,23.785,-23.7706,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r2_dose1Type_Pfizer,0.545419,-0.531503,0.729557,-10.0549,10.0319,-0.0684706,-0.209086,-0.721918,0.120303,-0.112933,0.0899842,-22.0989,22.0843,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r2_isConvalesced_Yes,-0.00174897,0.0384894,-0.372907,0.0200002,-0.0684706,2.52957,-0.117394,-0.544916,0.692288,-0.0549158,0.285651,-1.31927,1.23785,0,0,0,0,0,0,0,0,0,0,0,0,0
r3_pop,-0.0227499,0.000678257,0.0172021,0.264867,-0.209086,-0.117394,0.52625,0.481036,-0.509246,0.128446,-0.119776,0.913942,-0.916226,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r3_dose1Type_Pfizer,-0.017152,-0.077765,0.0799221,0.812585,-0.721918,-0.544916,0.481036,3.50082,-0.362248,0.264855,-0.202506,6.39906,-6.41686,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r3_isConvalesced_Yes,0.0187324,-1.80001e-05,-0.274993,-0.172814,0.120303,0.692288,-0.509246,-0.362248,1.79468,-0.119072,0.354612,-0.54044,0.597955,0,0,0,0,0,0,0,0,0,0,0,0,0
r4_pop,-0.00478526,-0.0038264,0.00190181,0.134853,-0.112933,-0.0549158,0.128446,0.264855,-0.119072,0.0504109,-0.0456322,0.351814,-0.353044,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_r4_isConvalesced_Yes,0.00395228,0.00292468,0.0915953,-0.110238,0.0899842,0.285651,-0.119776,-0.202506,0.354612,-0.0456322,0.138343,-0.210512,0.196301,0,0,0,0,0,0,0,0,0,0,0,0,0
A0_pop,-2.18026,-2.38727,-0.507933,23.785,-22.0989,-1.31927,0.913942,6.39906,-0.54044,0.351814,-0.210512,4746.31,-4746.28,0,0,0,0,0,0,0,0,0,0,0,0,0
beta_A0_isConvalesced_Yes,2.17946,2.38835,-0.514957,-23.7706,22.0843,1.23785,-0.916226,-6.41686,0.597955,-0.353044,0.196301,-4746.28,4752.7,0,0,0,0,0,0,0,0,0,0,0,0,0
omega_r1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085833,-0.0188883,-0.0671217,-0.00388803,0.00701386,0.0485309,-0.00819559,-0.00363089,-0.0123583,-0.000161091,-0.000144254,-0.000245256,0.000112822
corr_r2_r1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188883,0.104534,0.597916,0.0817863,-0.0447042,-0.921787,0.00896162,-0.0663381,-0.104883,0.004597,0.000819014,0.000508661,-0.000451451
corr_r3_r1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671217,0.597916,25.1915,1.25751,-0.283474,17.1969,-0.547497,16.5105,39.6651,0.318354,0.0153208,0.000113642,-0.00273576
corr_r4_r1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00388803,0.0817863,1.25751,0.210888,-0.0563228,-1.72945,-0.0945036,-0.473052,-1.13063,-0.00798925,0.00115732,0.00026082,-0.000131501
omega_r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701386,-0.0447042,-0.283474,-0.0563228,0.0419302,1.32059,0.0186223,0.240904,0.635133,0.00951869,-0.000475434,-0.000520855,0.000168878
corr_r3_r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485309,-0.921787,17.1969,-1.72945,1.32059,311.183,2.91241,85.2844,200.434,1.52681,0.0308709,-0.0221908,0.00493687
corr_r4_r2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00819559,0.00896162,-0.547497,-0.0945036,0.0186223,2.91241,0.117891,0.43009,1.10763,0.0148692,-0.000549661,0.000191354,-9.07558e-05
omega_r3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00363089,-0.0663381,16.5105,-0.473052,0.240904,85.2844,0.43009,40.0981,93.1654,0.688322,0.019332,-0.00685433,-0.00161418
corr_r4_r3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123583,-0.104883,39.6651,-1.13063,0.635133,200.434,1.10763,93.1654,221.371,1.81931,0.0427104,-0.0177751,-0.00338699
omega_r4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000161091,0.004597,0.318354,-0.00798925,0.00951869,1.52681,0.0148692,0.688322,1.81931,0.0280532,-6.06565e-05,-0.00050844,-2.32599e-05
omega_A0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000144254,0.000819014,0.0153208,0.00115732,-0.000475434,0.0308709,-0.000549661,0.019332,0.0427104,-6.06565e-05,3.38522,-0.000299653,-0.000909968
a,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000245256,0.000508661,0.000113642,0.00026082,-0.000520855,-0.0221908,0.000191354,-0.00685433,-0.0177751,-0.00050844,-0.000299653,0.000744454,-5.76413e-05
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112822,-0.000451451,-0.00273576,-0.000131501,0.000168878,0.00493687,-9.07558e-05,-0.00161418,-0.00338699,-2.32599e-05,-0.000909968,-5.76413e-05,0.000622757
